states,Mar-2020,Apr-2020,May-2020
Andaman and Nicobar Islands,10,39,17
Andhra Pradesh,45,1710,3079
Arunachal Pradesh,0,2,1
Assam,1,72,542
Bihar,22,489,2972
Chandigarh,15,77,365
Chhattisgarh,11,65,283
Dadra and Nagar Haveli,0,0,3
Daman and Diu,0,0,0
Delhi,128,4540,16432
Goa,5,9,72
Gujarat,85,5137,16770
Haryana,60,517,1453
Himachal Pradesh,6,65,220
Jammu and Kashmir,58,780,1662
Jharkhand,1,131,425
Karnataka,112,704,2115
Kerala,267,618,550
Ladakh,16,23,57
Lakshadweep,0,0,0
Madhya Pradesh,71,3174,7486
Maharashtra,351,12378,57418
Manipur,1,3,34
Meghalaya,0,13,15
Mizoram,1,0,1
Nagaland,0,0,3
Odisha,4,181,1909
Puducherry,1,12,53
Punjab,47,557,3430
Rajasthan,96,3439,7988
Sikkim,0,0,1
Tamil Nadu,131,3477,22324
Telangana,117,1391,1632
Tripura,0,4,358
Uttar Pradesh,121,2681,7524
Uttarakhand,9,84,318
West Bengal,43,872,4593
total,1835,43242,164747
un,0,0,2642
