states,cases,date
an,0,14-Mar-20
ap,1,14-Mar-20
ar,0,14-Mar-20
as,0,14-Mar-20
br,0,14-Mar-20
ch,0,14-Mar-20
ct,0,14-Mar-20
dd,0,14-Mar-20
dl,7,14-Mar-20
dn,0,14-Mar-20
ga,0,14-Mar-20
gj,0,14-Mar-20
hp,0,14-Mar-20
hr,14,14-Mar-20
jh,0,14-Mar-20
jk,2,14-Mar-20
ka,6,14-Mar-20
kl,19,14-Mar-20
la,0,14-Mar-20
ld,0,14-Mar-20
mh,14,14-Mar-20
ml,0,14-Mar-20
mn,0,14-Mar-20
mp,0,14-Mar-20
mz,0,14-Mar-20
nl,0,14-Mar-20
or,0,14-Mar-20
pb,1,14-Mar-20
py,0,14-Mar-20
rj,3,14-Mar-20
sk,0,14-Mar-20
tg,1,14-Mar-20
tn,1,14-Mar-20
tr,0,14-Mar-20
tt,81,14-Mar-20
un,0,14-Mar-20
up,12,14-Mar-20
ut,0,14-Mar-20
wb,0,14-Mar-20
an,0,14-Mar-20
ap,0,14-Mar-20
ar,0,14-Mar-20
as,0,14-Mar-20
br,0,14-Mar-20
ch,0,14-Mar-20
ct,0,14-Mar-20
dd,0,14-Mar-20
dl,1,14-Mar-20
dn,0,14-Mar-20
ga,0,14-Mar-20
gj,0,14-Mar-20
hp,0,14-Mar-20
hr,0,14-Mar-20
jh,0,14-Mar-20
jk,0,14-Mar-20
ka,0,14-Mar-20
kl,3,14-Mar-20
la,0,14-Mar-20
ld,0,14-Mar-20
mh,0,14-Mar-20
ml,0,14-Mar-20
mn,0,14-Mar-20
mp,0,14-Mar-20
mz,0,14-Mar-20
nl,0,14-Mar-20
or,0,14-Mar-20
pb,0,14-Mar-20
py,0,14-Mar-20
rj,1,14-Mar-20
sk,0,14-Mar-20
tg,0,14-Mar-20
tn,0,14-Mar-20
tr,0,14-Mar-20
tt,9,14-Mar-20
un,0,14-Mar-20
up,4,14-Mar-20
ut,0,14-Mar-20
wb,0,14-Mar-20
an,0,14-Mar-20
ap,0,14-Mar-20
ar,0,14-Mar-20
as,0,14-Mar-20
br,0,14-Mar-20
ch,0,14-Mar-20
ct,0,14-Mar-20
dd,0,14-Mar-20
dl,1,14-Mar-20
dn,0,14-Mar-20
ga,0,14-Mar-20
gj,0,14-Mar-20
hp,0,14-Mar-20
hr,0,14-Mar-20
jh,0,14-Mar-20
jk,0,14-Mar-20
ka,1,14-Mar-20
kl,0,14-Mar-20
la,0,14-Mar-20
ld,0,14-Mar-20
mh,0,14-Mar-20
ml,0,14-Mar-20
mn,0,14-Mar-20
mp,0,14-Mar-20
mz,0,14-Mar-20
nl,0,14-Mar-20
or,0,14-Mar-20
pb,0,14-Mar-20
py,0,14-Mar-20
rj,0,14-Mar-20
sk,0,14-Mar-20
tg,0,14-Mar-20
tn,0,14-Mar-20
tr,0,14-Mar-20
tt,2,14-Mar-20
un,0,14-Mar-20
up,0,14-Mar-20
ut,0,14-Mar-20
wb,0,14-Mar-20
an,0,15-Mar-20
ap,0,15-Mar-20
ar,0,15-Mar-20
as,0,15-Mar-20
br,0,15-Mar-20
ch,0,15-Mar-20
ct,0,15-Mar-20
dd,0,15-Mar-20
dl,0,15-Mar-20
dn,0,15-Mar-20
ga,0,15-Mar-20
gj,0,15-Mar-20
hp,0,15-Mar-20
hr,0,15-Mar-20
jh,0,15-Mar-20
jk,0,15-Mar-20
ka,0,15-Mar-20
kl,5,15-Mar-20
la,0,15-Mar-20
ld,0,15-Mar-20
mh,18,15-Mar-20
ml,0,15-Mar-20
mn,0,15-Mar-20
mp,0,15-Mar-20
mz,0,15-Mar-20
nl,0,15-Mar-20
or,0,15-Mar-20
pb,0,15-Mar-20
py,0,15-Mar-20
rj,1,15-Mar-20
sk,0,15-Mar-20
tg,2,15-Mar-20
tn,0,15-Mar-20
tr,0,15-Mar-20
tt,27,15-Mar-20
un,0,15-Mar-20
up,1,15-Mar-20
ut,0,15-Mar-20
wb,0,15-Mar-20
an,0,15-Mar-20
ap,0,15-Mar-20
ar,0,15-Mar-20
as,0,15-Mar-20
br,0,15-Mar-20
ch,0,15-Mar-20
ct,0,15-Mar-20
dd,0,15-Mar-20
dl,1,15-Mar-20
dn,0,15-Mar-20
ga,0,15-Mar-20
gj,0,15-Mar-20
hp,0,15-Mar-20
hr,0,15-Mar-20
jh,0,15-Mar-20
jk,0,15-Mar-20
ka,0,15-Mar-20
kl,0,15-Mar-20
la,0,15-Mar-20
ld,0,15-Mar-20
mh,0,15-Mar-20
ml,0,15-Mar-20
mn,0,15-Mar-20
mp,0,15-Mar-20
mz,0,15-Mar-20
nl,0,15-Mar-20
or,0,15-Mar-20
pb,0,15-Mar-20
py,0,15-Mar-20
rj,2,15-Mar-20
sk,0,15-Mar-20
tg,1,15-Mar-20
tn,0,15-Mar-20
tr,0,15-Mar-20
tt,4,15-Mar-20
un,0,15-Mar-20
